"ID","size","tissue","shell","clump.size","type","layer","fouling","body"
"K82",7.82,0.0047707491563372,0.0610537711938507,116,"Clump",NA,"Fouling_QM",0.0781401224371494
"K73",8.49,0.0054219690110035,0.0597600489565787,116,"Clump",NA,"Fouling_QM",0.0907289921221965
"K94",9.62,0.00711195152509934,0.0601496256258796,116,"Clump",NA,NA,0.118237668997883
"K95",12.17,0.00375153941820489,0.0463080046909163,116,"Clump",NA,"Fouling_QM",0.0810127631981689
"K102",12.04,0.00500148798853834,0.0568381611634696,116,"Clump",NA,NA,0.0879952462598815
"K88",14.21,0.0050818906012787,0.0520570385068832,116,"Clump",NA,"Fouling_QM",0.0976215848430708
"K34",6.91,0.00362189902679087,0.0602096523474514,116,"Clump",NA,"Fouling_QM",0.0601547905623172
"K24",7.38,0.00580083337045425,0.0522684714018305,116,"Clump",NA,"Fouling_QM",0.110981500221395
"K25",9.6,0.00358104692584322,0.0488755590862655,116,"Clump",NA,"Fouling_QM",0.0732686641910869
"K33",9.71,0.00689185830676464,0.0506700164298708,116,"Clump",NA,"Fouling_QM",0.136014526782387
"K48",9.85,0.00437781549498069,0.0518569957191901,116,"Clump",NA,"Fouling_QM",0.0844209240096923
"K42",10.81,0.00799556056374242,0.0718332455299323,116,"Clump",NA,NA,0.111307243669099
"K35",12.2,0.00584648081985856,0.0593660427783919,116,"Clump",NA,NA,0.0984819022161027
"K15",12.29,0.00622167352746785,0.0666647180481378,116,"Clump",NA,NA,0.0933278308171236
"K2",6.52,0.00881333775783204,0.0569762099773817,116,"Clump",NA,NA,0.154684521159458
"K1",7.03,0.00683477477915845,0.0515576294883598,116,"Clump",NA,NA,0.132565729785958
"K55",9.48,0.00498184985766841,0.0591331398545206,116,"Clump",NA,NA,0.084248018453354
"L67",9,0.0044527736874178,0.0490837038333172,92,"Clump",NA,NA,0.0907179642053689
"L71",11.73,0.00667563486992185,0.0749823291947093,92,"Clump",NA,"Fouled_by_QM",0.0890294412245716
"L66",13.6,0.00626154546790312,0.0727020076787246,92,"Clump",NA,"Fouling_QM",0.0861261699343069
"L56",7.64,0.0051609283373584,0.0608015382914202,92,"Clump",NA,"Fouled_by_QM",0.0848815421843803
"L50",9.7,0.00461058206553142,0.0519505327734055,92,"Clump",NA,"Fouled_by_QM",0.0887494664518949
"L35",9.74,0.00682045943286566,0.0513361639591787,92,"Clump",NA,"Fouling_QM",0.13285876674169
"L29",8.55,0.00705945220739838,0.0618088401555777,92,"Clump",NA,"Fouled_by_QM",0.114214280507921
