ID,Sample,size,lnsize,ogtissue,lntissue,tissue,ogshell,lnshell,shell,site,mass,no,ratio,ratio.m,location,body,Type,clump.density
N16,2,13.34,2.59076704,0.012,-4.422848629,0.015272039,0.136,-1.995100393,0.166210759,2,91.724,282,2.098901099,12.80138429,sport,0.091883579,Clump,high
L75,3.4,13.34,2.59076704,0.014,-4.268697949,0.017817379,0.125,-2.079441542,0.152767242,3,26.279,92,1.967741935,5.332289157,sport,0.116630889,Clump,mid
M81,5.2,13.38,2.593761055,0.013,-4.342805922,0.016370232,0.162,-1.820158944,0.196247713,5,26.516,99,1.605263158,4.463836802,sport,0.083416168,Clump,mid
N124,2.2.1,13.4,2.595254707,0.011,-4.509860006,0.013778666,0.132,-2.024953356,0.159203457,2,91.724,282,2.098901099,12.80138429,sport,0.086547531,Clump,high
M26,5.1,13.4,2.595254707,0.015,-4.199705078,0.01878909,0.126,-2.071473372,0.151966936,5,26.516,99,1.605263158,4.463836802,sport,0.12363933,Clump,mid
N141,2.2.1,13.42,2.596746132,0.009,-4.710530702,0.011214074,0.141,-1.958995389,0.169312686,2,91.724,282,2.098901099,12.80138429,sport,0.066232925,Clump,high
H38,4.1.1,13.42,2.596746132,0.01,-4.605170186,0.012460083,0.128,-2.055725015,0.153702297,4,106.604,222,2.69047619,14.85189591,sport,0.08106634,Clump,high
H217,4.2.1,13.42,2.596746132,0.016,-4.135166557,0.019936132,0.151,-1.890475442,0.181320678,4,106.604,222,2.69047619,14.85189591,sport,0.109949579,Clump,high
H205,4.2.1,13.44,2.598235335,0.011,-4.509860006,0.013634005,0.149,-1.903808973,0.178135847,4,106.604,222,2.69047619,14.85189591,sport,0.076537123,Clump,high
H225,4.2.1,13.44,2.598235335,0.011,-4.509860006,0.013634005,0.134,-2.009915479,0.160202708,4,106.604,222,2.69047619,14.85189591,sport,0.085104712,Clump,high
L58,3.3,13.46,2.599722324,0.009,-4.710530702,0.011096513,0.094,-2.364460497,0.111889776,3,26.279,92,1.967741935,5.332289157,sport,0.099173611,Clump,mid
H112,4.1.1,13.49,2.60194867,0.015,-4.199705078,0.018348963,0.14,-1.966112856,0.165554935,4,106.604,222,2.69047619,14.85189591,sport,0.110833079,Clump,high
H48,4.1.1,13.5,2.602689685,0.015,-4.199705078,0.01830088,0.154,-1.870802677,0.181713309,4,106.604,222,2.69047619,14.85189591,sport,0.10071293,Clump,high
M83,5.2,13.5,2.602689685,0.018,-4.017383521,0.021961056,0.173,-1.754463684,0.204132484,5,26.516,99,1.605263158,4.463836802,sport,0.107582366,Clump,mid
L21,3,13.51,2.603430152,0.012,-4.422848629,0.014602366,0.132,-2.024953356,0.155414871,3,26.279,92,1.967741935,5.332289157,sport,0.09395733,Clump,mid
H197,4.2.1,13.57,2.607861474,0.004,-5.521460918,0.004791675,0.091,-2.396895772,0.105752456,4,106.604,222,2.69047619,14.85189591,sport,0.045310293,Clump,high
H207,4.2.1,13.57,2.607861474,0.018,-4.017383521,0.021562536,0.158,-1.845160246,0.183614154,4,106.604,222,2.69047619,14.85189591,sport,0.117433956,Clump,high
H83,4.1.2,13.59,2.609334228,0.013,-4.342805922,0.015491941,0.153,-1.877317358,0.177033808,4,106.604,222,2.69047619,14.85189591,sport,0.087508377,Clump,high
L54,3.3,13.59,2.609334228,0.014,-4.268697949,0.016683629,0.15,-1.897119985,0.173562557,3,26.279,92,1.967741935,5.332289157,sport,0.096124586,Clump,mid
M57,5.2,13.59,2.609334228,0.015,-4.199705078,0.017875317,0.15,-1.897119985,0.173562557,5,26.516,99,1.605263158,4.463836802,sport,0.102990628,Clump,mid
