ID,Sample,size,tissue,shell,situ,site,mass,no,ratio,ratio.m,location,body,clump
H37,4,6.97,0.002,0.017,clump,4,106.604,222,2.69047619,14.85189591,sport,0.117647059,high
H28,4,8.41,0.002,0.026,clump,4,106.604,222,2.69047619,14.85189591,sport,0.076923077,high
H33,4,7.66,0.002,0.027,clump,4,106.604,222,2.69047619,14.85189591,sport,0.074074074,high
H35,4,7.97,0.001,0.028,clump,4,106.604,222,2.69047619,14.85189591,sport,0.035714286,high
H27,4,8.52,0.002,0.029,clump,4,106.604,222,2.69047619,14.85189591,sport,0.068965517,high
H29,4,8.73,0.003,0.034,clump,4,106.604,222,2.69047619,14.85189591,sport,0.088235294,high
H30,4,8.51,0.002,0.035,clump,4,106.604,222,2.69047619,14.85189591,sport,0.057142857,high
H32,4,8,0.002,0.039,clump,4,106.604,222,2.69047619,14.85189591,sport,0.051282051,high
E3,,9.51,0.009,0.068,sing,,,,,,sport.1,0.132352941,
E5,,10.49,0.011,0.07,sing,,,,,,sport.1,0.157142857,
E4,,10.57,0.011,0.082,sing,,,,,,sport.1,0.134146341,
E1,,12.56,0.011,0.098,sing,,,,,,sport.1,0.112244898,
E2,,15.72,0.022,0.148,sing,,,,,,sport.1,0.148648649,
